2026-06-02 00:06:13,145 [axes.apps] INFO: AXES: BEGIN version 8.3.1, blocking by ip_address
2026-06-02 00:06:13,250 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,250 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "update_classroom_status" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "sync_offline_cache" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "check_attendance_compliance" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Scheduler started
2026-06-02 00:06:13,715 [daphne.cli] INFO: Starting server at tcp:port=9000:interface=0.0.0.0
2026-06-02 00:06:13,715 [daphne.server] INFO: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-06-02 00:06:13,716 [daphne.server] INFO: Configuring endpoint tcp:port=9000:interface=0.0.0.0
2026-06-02 00:06:13,716 [daphne.server] INFO: Listening on TCP address 0.0.0.0:9000
127.0.0.1:60893 - - [02/Jun/2026:00:06:44] "GET /api/v1/health" 200 92
2026-06-02 00:06:45,267 [axes.handlers.database] INFO: AXES: User login failed, running database handler for failure.
2026-06-02 00:06:45,268 [axes.handlers.database] INFO: AXES: Cleaned up 0 expired access attempts from database that were older than 2026-06-01 23:51:44.314438
2026-06-02 00:06:45,270 [axes.handlers.database] WARNING: AXES: New login failure by {username: "********************", ip_address: "********************", user_agent: "Python-urllib/3.13", path_info: "/api/v1/auth/login"}. Created new record in the database.
Unauthorized: /api/v1/auth/login
2026-06-02 00:06:45,280 [django.request] WARNING: Unauthorized: /api/v1/auth/login
Unauthorized: /api/v1/dashboard
127.0.0.1:58654 - - [02/Jun/2026:00:06:45] "POST /api/v1/auth/login" 401 252
127.0.0.1:58655 - - [02/Jun/2026:00:06:46] "POST /api/v1/auth/login" 200 217
2026-06-02 00:06:46,282 [django.request] WARNING: Unauthorized: /api/v1/dashboard
Forbidden: /api/v1/audit-log
127.0.0.1:58660 - - [02/Jun/2026:00:06:46] "GET /api/v1/dashboard" 401 226
127.0.0.1:58661 - - [02/Jun/2026:00:06:47] "POST /api/v1/auth/login" 200 284
2026-06-02 00:06:47,302 [django.request] WARNING: Forbidden: /api/v1/audit-log
127.0.0.1:58663 - - [02/Jun/2026:00:06:47] "GET /api/v1/audit-log" 403 173
127.0.0.1:58664 - - [02/Jun/2026:00:06:47] "GET /api/v1/me" 200 123
127.0.0.1:58665 - - [02/Jun/2026:00:06:47] "GET /api/v1/dashboard" 200 176
127.0.0.1:58666 - - [02/Jun/2026:00:06:47] "GET /api/v1/schedule" 200 16374
127.0.0.1:58668 - - [02/Jun/2026:00:06:47] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58669 - - [02/Jun/2026:00:06:47] "GET /api/v1/notifications" 200 1667
127.0.0.1:58674 - - [02/Jun/2026:00:06:47] "GET /api/v1/courses" 200 5606
127.0.0.1:58676 - - [02/Jun/2026:00:06:47] "GET /api/v1/classrooms" 200 2091
127.0.0.1:58677 - - [02/Jun/2026:00:06:47] "GET /api/v1/classrooms/status" 200 1495
127.0.0.1:58678 - - [02/Jun/2026:00:06:47] "GET /api/v1/departments" 200 3750
127.0.0.1:58680 - - [02/Jun/2026:00:06:47] "GET /api/v1/teachers" 200 4503
127.0.0.1:58681 - - [02/Jun/2026:00:06:47] "GET /api/v1/students" 200 11685
127.0.0.1:58682 - - [02/Jun/2026:00:06:47] "GET /api/v1/tickets" 200 10886
